id_type_attaque1;id_type_attaque2;id_type_attaque3
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
3;999;999
