id_nationalité1;id_nationalité2;id_nationalité3
217;0;0
97;0;0
87;0;0
217;0;0
217;0;0
217;0;0
217;0;0
75;0;0
217;0;0
217;0;0
217;0;0
217;0;0
217;0;0
217;0;0
217;0;0
217;0;0
217;0;0
51;0;0
209;0;0
217;0;0
217;0;0
160;0;0
94;0;0
94;0;0
217;0;0
235;0;0
217;0;0
94;0;0
58;0;0
58;0;0
217;0;0
217;0;0
217;0;0
217;0;0
199;0;0
217;0;0
75;0;0
216;0;0
130;0;0
217;0;0
51;0;0
185;0;0
217;0;0
185;0;0
217;0;0
51;0;0
51;0;0
75;0;0
217;0;0
217;0;0
217;0;0
217;0;0
5;0;0
94;0;0
94;0;0
94;0;0
94;0;0
69;0;0
94;0;0
43;0;0
6;0;0
94;0;0
158;0;0
30;0;0
75;0;0
185;0;0
75;0;0
185;0;0
185;0;0
185;0;0
185;0;0
185;0;0
185;0;0
94;0;0
6;0;0
6;0;0
6;0;0
185;0;0
75;0;0
359;0;0
75;0;0
217;0;0
217;0;0
217;0;0
209;0;0
75;0;0
185;0;0
78;0;0
209;0;0
217;0;0
217;0;0
217;0;0
98;0;0
217;0;0
92;0;0
98;0;0
217;0;0
137;0;0
217;0;0
98;0;0
147;0;0
61;0;0
209;0;0
217;0;0
97;0;0
110;0;0
217;0;0
217;0;0
98;0;0
75;0;0
98;0;0
45;0;0
15;0;0
75;0;0
98;0;0
98;0;0
98;0;0
209;0;0
209;0;0
209;0;0
209;0;0
209;0;0
209;0;0
209;0;0
209;0;0
217;0;0
209;0;0
362;0;0
98;0;0
185;0;0
142;0;0
185;0;0
98;0;0
98;0;0
200;0;0
98;0;0
217;0;0
217;0;0
209;0;0
15;0;0
98;0;0
209;0;0
75;0;0
43;0;0
43;0;0
43;0;0
98;0;0
98;0;0
60;0;0
98;0;0
11;0;0
11;0;0
26;0;0
98;0;0
98;0;0
21;0;0
217;0;0
217;0;0
185;0;0
217;0;0
59;0;0
98;0;0
61;0;0
217;0;0
98;0;0
217;0;0
92;0;0
217;0;0
69;0;0
98;0;0
98;0;0
217;0;0
422;0;0
98;0;0
26;0;0
30;0;0
98;0;0
217;0;0
217;0;0
217;0;0
139;0;0
43;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
78;0;0
217;0;0
217;0;0
217;0;0
14;0;0
55;0;0
55;0;0
209;0;0
209;0;0
209;0;0
43;0;0
199;0;0
97;0;0
209;0;0
209;0;0
403;0;0
217;0;0
45;0;0
209;0;0
97;0;0
69;0;0
69;0;0
69;0;0
69;0;0
75;0;0
94;0;0
185;0;0
97;0;0
97;0;0
97;0;0
94;0;0
162;0;0
97;0;0
113;0;0
94;0;0
26;0;0
217;0;0
45;0;0
185;0;0
61;0;0
185;0;0
185;0;0
209;0;0
94;0;0
11;0;0
26;0;0
403;0;0
162;0;0
162;0;0
97;0;0
217;0;0
11;0;0
0;0;0
26;0;0
26;0;0
26;0;0
110;0;0
95;0;0
69;0;0
97;0;0
359;0;0
201;0;0
94;0;0
217;0;0
69;0;0
359;0;0
26;0;0
208;0;0
11;0;0
75;0;0
11;0;0
30;0;0
95;0;0
94;0;0
156;0;0
156;0;0
185;0;0
69;0;0
94;0;0
78;0;0
60;0;0
11;0;0
45;0;0
45;0;0
45;0;0
0;0;0
6;0;0
26;0;0
94;0;0
106;0;0
106;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
97;0;0
106;0;0
61;0;0
45;0;0
94;0;0
216;0;0
61;0;0
61;0;0
61;0;0
61;0;0
78;0;0
61;0;0
61;0;0
61;0;0
83;0;0
61;0;0
61;0;0
61;0;0
45;0;0
43;0;0
43;0;0
61;0;0
61;0;0
142;0;0
43;0;0
199;0;0
94;0;0
159;0;0
43;0;0
159;0;0
159;0;0
159;0;0
61;0;0
61;0;0
61;0;0
69;0;0
159;0;0
159;0;0
61;0;0
61;0;0
217;0;0
61;0;0
43;0;0
78;0;0
61;0;0
159;0;0
159;0;0
185;0;0
61;0;0
49;0;0
217;0;0
49;0;0
61;0;0
92;0;0
69;0;0
69;0;0
83;0;0
61;0;0
61;0;0
185;0;0
61;0;0
61;0;0
61;0;0
217;0;0
60;0;0
97;0;0
216;0;0
75;0;0
83;0;0
362;0;0
83;0;0
83;0;0
216;0;0
216;0;0
69;0;0
159;0;0
61;0;0
145;0;0
61;0;0
12;0;0
92;0;0
61;0;0
185;0;0
159;0;0
217;0;0
98;0;0
98;0;0
98;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
97;0;0
61;0;0
144;0;0
45;0;0
209;0;0
217;0;0
217;0;0
217;0;0
217;0;0
110;0;0
61;0;0
183;0;0
110;0;0
230;0;0
155;0;0
217;0;0
159;0;0
83;0;0
61;0;0
217;0;0
205;0;0
156;0;0
61;0;0
61;0;0
61;0;0
110;0;0
110;0;0
110;0;0
359;0;0
83;0;0
87;0;0
11;0;0
97;0;0
97;0;0
15;0;0
159;0;0
110;0;0
98;0;0
97;0;0
97;0;0
213;0;0
83;0;0
83;0;0
159;0;0
159;0;0
159;0;0
61;0;0
216;0;0
217;0;0
97;0;0
69;0;0
231;0;0
231;0;0
231;0;0
110;0;0
61;0;0
61;0;0
61;0;0
61;0;0
42;0;0
95;0;0
61;0;0
217;0;0
83;0;0
97;0;0
69;0;0
185;0;0
185;0;0
185;0;0
185;0;0
235;0;0
198;0;0
69;0;0
75;0;0
69;0;0
97;0;0
159;0;0
159;0;0
159;0;0
159;0;0
83;0;0
83;0;0
159;0;0
159;0;0
69;0;0
69;0;0
69;0;0
97;0;0
45;0;0
15;0;0
136;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
15;0;0
217;0;0
97;0;0
94;0;0
216;0;0
98;0;0
26;0;0
75;0;0
185;0;0
185;0;0
159;0;0
0;0;0
61;0;0
97;0;0
113;0;0
61;0;0
61;0;0
