id_entreprise;libellé_entreprise
278;A rival terrorist group
279;A road building project
280;A roadside police checkpoint
281;A rubber plantation
282;A Russian Orthodox church
283;A school
284;A school bus
285;A school in Sargodha
286;A scientist in Colombia
287;A senior Muttahida Qaumi Movement (MQM)
288;A senior official with the Iraq Transportation Ministry
289;A Serbian café
290;A Shi i market in Baghdad
291;A Shi i mosque in Tan al-Banat, Iraq
292;A Shi i MP
293;A Shi i MP associated with Alawi's Iraqi National List
294;A Ship
295;A shopping mall
296;A small business
297;A soldier
298;A sporting stadium
299;A stadium
300;A stall selling food
301;A stock company
302;A store that sold exotic meat in Chicago, Illinois
303;A street in the Al-Iskan area of Baghdad
304;A Sudanese civilian
305;A Sunni business man in Baghdad
306;A Sunni mosque
307;A Sunni mosque in Baqubah, Iraq
308;A Sunni mosque in northern Baghdad
309;A Sunni mosque in west Baghdad
310;A sweets shop
311;A synagogue
312;A tax office
313;A taxi bus in Mitala Maria
314;A taxi circle
315;A taxi depot
316;A teacher
317;A teahouse
318;A telecommunications office
319;A temple
320;A Thai militia
321;a top Marseilles magistrate
322;A trade union
323;A travel agency
324;A tribal elder
325;A Turkish company
326;A Turkish marketing firm
327;A university
328;A US affiliate
329;A vendor's cart in Okara
330;A Verdade newspaper editor
331;A Villa in Ajaccio, Corsica
332;A village councilor
333;A Village in Kambingi
334;A village in the northern region of Uganda
335;A Volga vehicle
336;A watch shop and its patrons
337;A water pumping station in Kharotabad neighborhood
338;A water-pump station
339;A.G. McKee and Co.
340;A.P. Palacios Construction
341;A.V. Laynes Construction
342;Aahan Dara Girls School
343;Aala Village
344;Aam Aadmi Party
345;Ab Band District
346;Ab Band Law Enforcement
347;Ab Tak Television
348;Aba Khel Government Education
349;Abaagu Village
350;Abakhel School
351;Abali Ski Resort
352;Abante
353;Abaqkorey High School
354;ABB Lummus Global
355;Abbaganaram Primary School
356;Abbasi Shaheed Hospital
357;Abbasiyin Neighborhood
358;Abbasiyyin Square
359;Abbassi Shaheed Hospital
360;Abbey Tynan
361;Abbi
362;Abbottabad Union of Journalists
363;abc and biario 16
364;ABC Barkredit-Bank
365;ABC color newspaper
366;ABC Infrastructure Pvt Ltd.
367;ABC Network
368;ABC News
369;ABC Store
370;ABC Stringers
371;ABC TV
372;ABCI Infrastructures Private Limited
373;Abd al-Majid Hospital
374;Abd al-Malik al-Sa'idi Mosque
375;Abd-al-Husayn al-Zaydi
376;Abdallah Mohamedein Village
377;Abd-al-Rasul Mosque
378;Abdel Hadi al-Chalabi Mosque
379;Abdel Majid Hospital
380;Abdel Moneim Riad Square
381;Abdel Qadir Gilani Mosque
382;Abdewachmane Kaouadj School
383;Abdi Gul.
384;Abdol Khakiq Shindandi Security Company
385;Abdol Samad Barakzai
386;Abdol Wahab Qatali Security Company
387;Abdul Kaliq Shindandi Security Company
388;Abdul Wahab Qitali
389;Abdul Wahid
390;Abdul Wali Khan University
391;Abdulkarim Yusoh
392;Abdulkhader Alim Mosque
393;Abdullah Abid Mosque
394;Abdullah Baba Shrine
395;Abdullah Jan
396;Abdullah Mosque
397;Abdullah Restaurant
398;Abdullahi Ahmed Afrah, Somali minister for commerce
399;Abdulloh Buenae
400;Abdulrahman Al Dakheel Boys Intermediate School
401;Abed an-Nasser mosque
402;Abercorn Restaurant
403;Abgal sub-clan
404;Abha City
405;Abha International Airport
406;Abhayapuri Police
407;Abhijeet Power Plant
408;Abiam Koya Village
409;Abidjan Law Enforcement
410;Abidjan University
411;Abkhaz militia
412;Abkhaz Translator
413;Abkhazian Police
414;Abo Zakarya Sahwa office
415;Aboard Lebanese ferry Alisur Blanco
416;Abogbe Village
417;Aboitiz Transport System
418;Aborigines
419;Abortion + Reproductive Health Service
