id_branche_terroriste;libellé_branche_terroriste
208;Baloch Freedom Fighters
209;Bandits
210;Bangladesh Chhatra League
211;Bangladesh Nationalist Party-Jamaat alliance
212;Bangsa Moro Army
213;Bangsamoro Islamic Freedom Fighters
214;Bansadhara-Nagabali and Ghumsur Division
215;Bargarh Zonal Committee
216;Bargarh-Balangir-Mahasammud Divisional Committee
217;Basque Revolution Group (Grupo Vasco Iraultza)
218;Basutoland Congress Party
219;Basutoland Congress Party, Dissident Faction
220;Bayardo Paguada Movement
221;Bedri Yagan Faction
222;Belfast Brigade
223;Believed Linked to Red Brigades
224;Believing Youth Organization
225;Benito Tesorio Command
226;Bhalu group
227;Bicol Regional Party Committee
228;Bienvenido Valleber Command
229;Biswa Mohan faction
230;Biswamohan Faction of National Liberation Front of Tripura (NLFT-BM)
231;Black Bird Group of the 10th Front
232;Black Consciousness Movement of Azania
233;Black Eagles
234;Black June
235;Black Sea Tigers
236;Black Tigers
237;Black Widows
238;Black Widows, Commander Abu al-Walid
239;Black Widows, Commander Arbi Barayev
240;Black Widows, Commander Shamil Basayev
241;Bobby Sands Group
242;Bodo Security Force
243;Bodoland Army (Armed Wing)
244;Bougainville Republican Army
245;Bozkurtlar
246;Breakaway NPA
247;Breton Revolutionary Army (ARB)
248;Breton Revolutionary Army (armed wing)
249;Brigades of Palestinian National Resistance
250;BRN Coordinate
251;Bugti Sub-Tribe
252;CAC
253;Cacique Calarca Front
254;Caloma Resistance
255;Camilo Cienfuegos Company
256;"Camilo Cienfuegos Company; Domingo Lain Saenz Front"
257;Camilo Torres Restrepo Front
258;Capitan Francisco Bossio Company
259;Capitan Mauricio Front
260;Carlos Fonseca Northern Front
261;Carlos German Velasco Front
262;Carlos Toledo Plata
263;Caucasus Front
264;Celso Minguez Command
265;Central American Revolutionary Workers Party (PRTC)
266;Central Division
267;Central Libya Shield
268;Central Negros Front
269;Central Zonal Committee
270;CEPAC Allende Group
271;Cesar Cayon
272;Cesar Cayon Command Front 18
273;Charik Group
274;Che Guevara Commando
275;Che Guevara Fighting Communist Nuclei
276;Che Guevara Front
277;Che Guevara Internationalist Brigage
278;Chhatra Shibir (Student Wing)
279;Chosen Communist Fighters
280;Christian Klar Action Group
281;City Workers
282;Coal Miners
283;Cobra Task Force
284;Cobra Task Force-1
285;Columbian
286;Comandante Diego Front
287;Commander Abdul Khalim Saidullayev
288;Commander Abu Omar al-Saif
289;Commander Amir Abdulla
290;Commander Amir Abdu-Sabur
291;Commander Arbi Barayev
292;Commander Askhab Bidayev
293;Commander Aslan Maskhadov
294;Commander Doku Umarov
295;Commander Ibn al-Khattab
296;Commander Islam Khasukhanov
297;Commander Mamatsuyev
298;Commander Movladi Udugov
299;Commander Movsar Barayev
300;Commander Ramzan Akhmad
301;Commander Ramzan Akhmadov
302;Commander Rapani Khalilov, under the command of Abu al-Walid
303;Commander Rustam Surguev
304;Commander Salman Raduyev
305;Commander Shamil Basayev
306;Commander Suleyman Imurzayev, under the command of Shamil Basayev
307;Commander Usman Muntsigov
308;Commander Yakub
309;Commander Yesenia Special Forces
310;Commander Zelimkhan Akmadov
311;Commando
312;Commando Solidarity with Euskadi
313;Commando Ulrike Meinhof
314;Committee 14
315;Communist Party of India- Marxist/Leninist
316;Communist Party of Peru
317;Communist Party of the Philippines
318;Communist Party of the Philippines, Marxist-Leninist (CPP-ML) (Founding Group and Faction)
319;Comuneros del Sur Front
320;Comval Davao Gulf Sub Regional Command
321;Comval-North Davao South Agusan Sub-regional Command
322;Confederate Vigilante Knights of KKK
323;COORS Family Skins criminal street gang (Hemet, California)
324;Core Faction
325;Corsica National Liberation Movement
326;Corsican Liberation Army
327;Cuban Power 76
328;Dagestan Front
329;Dagestan Front of the Caucasus Emirate
330;Daharba Division
331;Daimary Faction
332;Damascus Prefecture
333;Damascus Province of the Islamic State
334;Dandakaranya Special Zonal Committee
335;Daniel Aldana Front
336;"Daniel Aldana Front; 29th Alfonso Arteaga Front"
337;Daniel Aldana Mobile Column
338;Dario Ramirez Castro War Front
339;Darra Adam Khel chapter
340;Darra Adamkhel
341;Darra Adamkhel Chapter
342;Death Squad
343;Debu Jee
344;Deir ez-Zor Province of the Islamic State
345;Democracia (Dissident)
346;Democratic Front of Central African People (FDPC)
347;Democratic Revival Front
348;Democratic Revolutionary Front
349;Demonstrators
350;Dev Sol: Dursun Karatas Faction
351;Difa-e-Nazria-e-Pakistan
352;Dijlah Province of the Islamic State
353;Dilip Nunisa Faction
354;Dir al-Islam Brigades
355;Dissident Elements
356;Dissident Faction
357;Dissident Pado Wer
358;Dissidents
359;Division 13
360;Diyala Province of the Islamic State
361;Domingo Lain Saenz Front
362;Donbass People's Militia
363;Draa El Mizan seriat
364;Eagles of the Revolution
365;East Bastar Divisional Committee
366;East Jercito Comunero Tomas Katari
367;East Kalimantan Branch
368;East Kurdistan Defense Units (YRK)
369;Eastern Command
370;Eastern War Front
371;Eastern Zonal Committee
372;Edgar Ibarra Group
373;Edgar Munguia Brigade of Western Front
374;Efrain Pabon Pabon Front
375;"Efren Martires Command; Sergio Lobina Command"
376;El Ansar phalange
377;El Arkam
378;El Arkam or El Ansar
379;El Borkane phalange
380;El Feth Katibat
381;El Forkane phalange
382;El Houra katibat
383;El-Akram katibat
384;El-Ansar katibat
385;Electronic Warfare Technology Group
386;El-Farouk katibat
387;El-Forkane group
388;Ellalan Force
389;El-Mouhadjirine katibat
390;ELN Branch
391;Emirate of the Sahara
392;Enemy's Fifth Column
393;EOKA-B
394;Ernesto Che Guevara Commission
395;Essedik katibat
396;Europe
397;Ex-MNLF
398;Ex-Paramilitaries
399;Explosives Squad
400;Extreme Right Commandos
401;Extremists
402;Ezzane katibat
403;Ezz-Eddin Al-Kassam
404;Ezzedine al-Qassam Brigades
405;Faction
406;Fahd El-Lil
407;Fallujah Province of the Islamic State
408;FALN-R
409;Fanatics
410;Farouq Brigades
411;Fatah Revolutionary Council
412;Fatima Georgi Morales Lara Brigade
413;Fawj Sukour al-Ghab
414;Feliciano Ama Western Front
415;Felicity Ann Ryder Cell
416;Fidaeen-i-Islam
417;"Fidaeen-i-Islam; South Waziristan Chapter"
418;Fidayeen
