id_branche_terroriste;libellé_branche_terroriste
954;Separatist Rebels
955;Separatists
956;September France
957;Settlers
958;Shah Faisal Sector - Unit 108
959;"Shahid Mowlavi Ne'matollah battalion; Shahid Sheikh Zia'yi battalion; Shahid Mowlavi Abdolmalek Mollazadeh battalion"
960;Shaqaqi Faction
961;Sheban Atlouf
962;Shehryar Mehsud Group
963;Shepoumaramth Region
964;Shiekhan tribe
965;Shield No. 2, Ajdabiya Branch
966;Siara Faction
967;Sidhu Kanhu Gana Militia
968;Sidhu-Kanhu Gana Milita
969;Sironcha Local Organization Squad
970;Sithole
971;Slavyansk Militia
972;Soldiers
973;Songbijit Faction
974;South African backed
975;South African Suicide Squad
976;South Central Bukidnon Sub-Regional Command
977;South Down Brigade
978;South Indian Mujahideen
979;South Sudan People's Patriotic Front (SSPPF)
980;South Waziristan chapter
981;Southeastern Army
982;Southern Bloc
983;Southern Mindanao Regional Command (SMRC)
984;Sparrow squads (Faction)
985;Sparrow Unit
986;Spear of the Nation
987;Special Force-2
988;Special Operations Group
989;Special Operations Group (MILF-SOG)
990;Special Partisan Unit
991;Special Partisan Unit (Sparu)
992;Special Task Force
993;Special Units
994;Special Warfare Group
995;Splinter
996;SPLM/SPLA
997;Squadron of Commander General Luis de la Puente Uceda
998;Srikakulam Faction
999;Srikakulam-Koraput division
1000;Strike Enforcers
1001;Strike Team 2
1002;Strike Team 4
1003;Strike Team 6
1004;Strikers
1005;Student Activists
1006;Student Members
1007;Student Militants
1008;Student Militia
1009;Student Wing
1010;Students
1011;Students Liberation Front
1012;Subversives
1013;Sudan Liberation Army-Abdel Wahid (SLA-AW)
1014;Sudan Liberation Movement for Justice (SLMJ of Karbino)/Sudan Liberation Movement- Unity (SLM-Unity of Abdullah Yahiya)
1015;Sudan People's Liberation Movement and the Justice and Equality Movement (JEM)
1016;Sunni Muslims
1017;Sunsari Unit
1018;Supremacists
1019;Suqour al-Sham
1020;"Suqur al-Jabal Brigade; 1st Coastal Brigade"
1021;"Suqur al-Jabal Brigade; Jaish al-Tahrir; Al-Izzah"
1022;Swat Group
1023;Swati Group
1024;Tahir Ustadz Group
1025;Tariq
1026;Tariq Afridi
1027;Tariq Afridi group
1028;Tariq Geedar Group
1029;Tarjuman Al-Qanoon
1030;Tehrik-i-Taliban Alam Sher Group
1031;Teofilo Forero
1032;Teofilo Forero Castro Front
1033;Teofilo Forero Castro Mobile Column
1034;Teofilo Forero front
1035;Teofilo Forero mobile column
1036;Terrorist Insurgents
1037;Thabet Thabet Brigade
1038;The 29th Division
1039;The Alex Ababa Command (AAB)
1040;The Family
1041;The Fastaqim Kama Umirta Gathering
1042;The National Resistance Brigades-Martyr Sa'id Hajuj Groups
1043;The Reconstituted Spanish Communist Party
1044;The Revolutionary People's Front (RPF)
1045;Thuwwar al-Sham Brigade
1046;TIKKO
1047;Tomas Pilapil Command
1048;Traffickers
1049;Tribal National Volunteers
1050;Tribesman
1051;Tribesmen
1052;Trititya Prastuti Committee
1053;Tritiya Prastuti Committee (TPC)
1054;Trotskyite Group
1055;Truck Drivers
1056;TTP Bajaur Agency
1057;Tuareg rebels
1058;Tuddu Squad
1059;Turkish Communist Party
1060;Turkish Islamic Jihad
1061;Turkish Workers and Peasants' Liberation Army (TIKKO)
1062;Turkistan Islamic Party (Syria)
1063;Tyrol
1064;Uganda People's Congress
1065;Uganda People's Liberation Army
1066;Ukranian Underground Organization
1067;ULFA (Independent)
1068;Ulrike Meinhof Action Committee
1069;Ulrike Meinhof Communist Commandos
1070;Ulrike Meinhof Fighting Unit
1071;Ultra-Nationalists
1072;uMkhonto weSizwe (MK)- Spear of the Nation
1073;Under Samih Al-Ajami
1074;Undergroup Marxist Group
1075;Unit 666
1076;United People's Party of Kangleipak (UPPK)
1077;United Taliban Movement of Pakistan (UTMP)
1078;University Students
1079;Urban Death Squad Sabillah (UDSS)
1080;Urban Terrorist Group (UTG)
1081;Urias Cuellar Mobile Column
1082;Valentin Palamine Command
1083;Vansdhara Divisional Committee
1084;Victor Saavedra Column
1085;Victory Battalion
1086;Vigilantes
1087;Vilayat Dagestan
1088;Vilayat Galgayche
1089;Vilayat Kabarda-Balkaria-Karachai
1090;Villagers
1091;West Bastar Division
1092;Western Cape Suicide Squad
1093;Wissam bin Hamid Group
1094;Women's Wing
1095;Wung Tangkhul Region
1096;XOC - Los Zetas
1097;XOC - Unknown
1098;Yahya Ayyash Brigade
1099;Yaiphaba faction
1100;Yakutumba Mayi Mayi
1101;Yarmouk Brigade
1102;Yarmuk
1103;Yarmuk Jamaat
1104;Youth
1105;Youth Brigade
1106;Zakir Bahini faction
1107;ZANLA (armed wing)
1108;Zaydi Rebels
1109;ZIPRA (armed wing)
1110;Zulu
